,index,id,station_name,open_date,status_code,fuel_type_code,ev_connector_types,ev_network,groups_with_access_code,access_days_time,street_address,city,zip,state,longitude,latitude,geometry,index_right,Tract,ZIP,County,ApproxLoc,TotPop19,CIscore,CIscoreP,Ozone,OzoneP,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,PopChar,PopCharSc,PopCharP,Child_10,Pop_10_64,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,Shape_Leng,Shape_Area,AAPI,Median HH Income,n_ev,n_roads,n_highways,dist_to_rd,dist_to_hw,n_rd_buffer,n_hw_buffer
0,0,1517,LADWP - Truesdale Center,1999-10-15,E,ELEC,"['CHADEMO', 'J1772', 'J1772COMBO']",Non-Networked,Private,Fleet use only,11797 Truesdale St,Sun Valley,91352,CA,-118.3879713743439,34.2483191527193,POINT (-118.3879713743439 34.2483191527193),61,6037121102,91352,Los Angeles,Los Angeles,2479,46.99449607,84.43015633,0.06591477,95.27069073,11.35398379,58.54387057,0.183486428,58.94212819,0.0,0.0,827.8660278,60.96524131,992.603908,57.4125,726.638249,83.12726364,61.88057882,68.35538752,81.3,98.74953341,22.95,71.99070231,4.405,97.41892786,7.0,66.73666527,63.4,99.97709049,69.20961812,8.450480625,98.09583074,57.99,66.78713858,3.97,25.90454196,11.88,45.0772682,30.7,80.91622374,2.3,18.10799838,44.7,75.7160804,4.3,35.02082249,35.8,96.73003802,53.61060776,5.561162513,55.42107917,8.6325,73.7394,17.6281,48.4873,45.9459,0.0,0.0,1.4925,11461.9743005,7542610.19447,4.0742,48750.0,2,72,5.0,50.5538864015139,912.1561360353111,4,
1,1,1519,LADWP - West LA District Office,2020-02-28,E,ELEC,['J1772'],Non-Networked,Private,0,1394 S Sepulveda Blvd,Los Angeles,90024,CA,-118.448504,34.052542,POINT (-118.448504 34.052542),1063,6037701100,90049,Los Angeles,Unincorporated Los Angeles County area,1101,38.71794243,73.13414019,0.04943242,59.85065339,11.65549655,64.61729932,0.562747802,91.81082763,0.004307128,9.413793103,1471.183329,72.75568892,4040.448172,98.7875,440.6380342,52.71637317,-999.0,-999.0,16.1,76.80104517,17.5,64.22048813,1.235,88.23295831,0.0,0.0,6.3,80.54982818,63.50620566,7.754095096,94.66085874,13.61,2.629611167,-999.0,-999.0,7.6,10.81754736,22.4,68.96988104,-999.0,-999.0,83.9,99.68592965,41.1,99.98698594,-999.0,-999.0,48.13558907,4.993225122,47.56681795,2.8156,77.7475,19.4369,26.5213,36.7847,22.4342,0.0,4.6322,8588.37334078,2532709.48755,9.6276,45536.0,2,61,14.0,10.353717765578745,0.9661052698576547,50,14.0
2,2,1523,Los Angeles Convention Center,1995-08-30,E,ELEC,['J1772'],Non-Networked,Public,5:30am-9pm; pay lot,1201 S Figueroa St,Los Angeles,90015,CA,-118.271387,34.040539,POINT (-118.271387 34.040539),533,6037224010,90015,Los Angeles,Los Angeles,2845,62.72820016,96.96167423,0.04676708,48.45052894,12.22607702,88.84878656,1.13833087,98.76789048,0.0,0.0,2289.676616,81.39534884,2299.077818,90.6625,787.9403354,92.53153491,66.76176386,75.09766856,6.8,47.64837626,22.5,71.69184792,1.17,87.45201853,0.0,0.0,0.0,0.0,61.76567104,7.541576165,93.01804605,81.7,86.10418744,5.74,69.68180652,14.22,61.71485543,30.2,80.46064288,18.4,84.16565164,62.2,93.11557789,-999.0,-999.0,32.4,93.72623574,80.18365508,8.317651216,92.70045386,6.5378,82.109,11.3533,57.6098,13.8489,17.645,0.0,1.5466,4231.35965868,827728.895201,9.3497,28082.0,7,90,6.0,55.78082220043488,238.36652774213803,162,9.0
3,3,1525,LADWP - John Ferraro Building,1999-10-15,E,ELEC,"['CHADEMO', 'J1772', 'J1772COMBO']",Non-Networked,Private,For fleet and employee use only,111 N Hope St,Los Angeles,90012,CA,-118.248589,34.059133,POINT (-118.248589 34.059133),402,6037207400,90012,Los Angeles,Los Angeles,1539,51.77958098,89.77559254,0.04791979,53.72744244,12.62517064,91.92283759,1.054895821,98.41941506,0.168341892,29.79310345,2025.671285,79.55738935,1934.587646,85.9625,787.9403354,92.53153491,-999.0,-999.0,37.15,92.45987309,40.05,86.1032708,2.135,93.07743216,7.0,66.73666527,15.0,96.0137457,79.61789654,9.721329353,99.9751089,30.75,26.3334995,-999.0,-999.0,10.73,35.90478564,11.3,46.22880283,23.8,91.21667343,34.2,60.45226131,10.6,88.40447683,-999.0,-999.0,51.34734809,5.326388923,52.58446798,2.2092,93.6972,4.0936,44.6394,15.0747,25.731,0.7147,1.6894,4622.08076324,875327.76508,12.1508,87000.0,28,59,16.0,43.549432901125456,76.1978387562952,110,13.0
4,4,1531,LADWP - Haynes Power Plant,2018-05-01,E,ELEC,"['CHADEMO', 'J1772', 'J1772COMBO']",Non-Networked,Private,Fleet use only,6801 E 2nd St,Long Beach,90803,CA,-118.096665,33.759802,POINT (-118.096665 33.759802),795,6037980007,90803,Los Angeles,Long Beach,0,-999.0,-999.0,0.04125212,24.87865588,11.50464038,60.8836341,0.126946218,45.11512134,0.00514267,10.37931034,7443.450114,95.66141535,1528.33972,78.65,-999.0,-999.0,-999.0,-999.0,30.75,89.0070922,19.1,66.97658974,2.52,94.69225678,18.0,97.52204956,12.0,93.63115693,64.51840268,7.877684152,95.46981954,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7332.58561016,2701084.14151,-1998.0,0.0,3,22,7.0,26.481396673167207,15.1125353788957,26,3.0
5,5,1552,LADWP - Harbor Generating Station,1999-10-15,E,ELEC,['J1772'],Non-Networked,Private,Fleet use only,161 N Island Ave,Wilmington,90744,CA,-118.265628,33.770508,POINT (-118.265628 33.770508),1594,6037294830,90744,Los Angeles,Los Angeles,4134,64.76295548,97.73071104,0.03809217,16.77660236,11.77535951,68.86123211,1.949143879,99.73864343,0.0,0.0,8956.069985,96.77419355,211.6913887,4.5375,391.0791793,42.42537779,81.18893209,90.33396345,44.5,94.71817842,20.6,68.98555537,0.98,84.87094639,8.0,72.15455691,2.75,60.52691867,60.37103644,7.371291558,91.48724331,76.33,83.00099701,6.4,82.14010778,21.61,92.82153539,49.4,96.22880283,21.4,88.34754365,58.9,90.86683417,5.3,48.25611661,32.1,93.33333333,84.69703642,8.785835557,96.40695915,15.4088,78.5922,5.999,93.5414,0.7741,3.4107,0.0,1.4756,4170.00888265,883763.246728,0.7983,44527.0,2,28,4.0,2.1787508519331547,81.0476969032466,42,4.0
6,6,1556,LADWP - Sylmar West,2016-01-01,E,ELEC,['J1772'],Non-Networked,Private - Government only,Fleet use only,13201 Sepulveda Blvd,Sylmar,91342,CA,-118.480505,34.30309,POINT (-118.480505 34.30309),281,6037980022,91344,Los Angeles,Los Angeles,0,-999.0,-999.0,0.06718273,97.00062228,10.85492594,53.8892346,0.284198315,74.68574984,0.0,0.0,360.8389994,45.17379345,3449.32775,97.6,-999.0,-999.0,-999.0,-999.0,13.5,72.39641657,0.75,4.416403785,2.6,94.95698213,3.0,33.15833683,21.25,98.60252005,61.16308842,7.468000947,92.30864966,20.33,9.633599202,-999.0,-999.0,4.67,0.535892323,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12365.4944541,6278751.93529,-1998.0,0.0,1,43,11.0,5.398739057477989,1.9991866365570692,20,5.0
7,7,1572,LADWP - EV Service Center,1999-10-15,E,ELEC,"['CHADEMO', 'J1772']",Non-Networked,Private,Fleet and employee use only,1630 N Main St,Los Angeles,90012,CA,-118.227605,34.066801,POINT (-118.227605 34.066801),400,6037206010,90012,Los Angeles,Los Angeles,4121,63.58266616,97.30206757,0.04863521,56.96328563,13.32985065,95.00933416,0.552716115,91.58680772,0.0,0.0,1841.683939,77.5443861,1563.55891,79.3125,787.9403354,92.53153491,64.97714794,72.84183995,70.35,98.15229563,33.85,82.5170181,5.38,98.02779616,8.0,72.15455691,3.75,67.35395189,75.02951528,9.161088913,99.52706907,30.75,26.3334995,8.02,96.510136,10.73,35.90478564,49.4,96.22880283,21.1,87.88740019,58.4,90.47738693,7.6,72.52732952,18.7,57.37642586,66.90780472,6.940514033,75.73121533,9.0755,74.4722,16.4523,53.919,7.6923,1.092,0.0,0.4368,6403.44887709,1438200.5137,36.86,42063.0,9,82,6.0,0.24395789996789607,328.50603230503134,46,4.0
8,8,1573,LADWP - Fairfax Center,2019-04-01,E,ELEC,['J1772'],Non-Networked,Private,Fleet use only,2311 S Fairfax Ave,Los Angeles,90016,CA,-118.368841,34.036777,POINT (-118.368841 34.036777),813,6037270300,90034,Los Angeles,Los Angeles,2542,34.8909771,67.397882,0.04632538,46.9943995,11.73778552,67.50466708,0.598840431,92.94337274,0.0,0.0,1921.086345,78.44461115,2060.497256,88.0,787.9403354,92.53153491,71.61864137,80.95778198,5.25,43.18775663,18.0,65.31628756,1.41,89.76836532,7.0,66.73666527,6.5,81.19129439,68.69472189,8.387611898,97.79713752,33.72,31.48055833,6.08,76.8154991,7.35,9.409272183,12.7,49.97468995,6.2,44.36324266,18.0,29.45979899,4.3,35.02082249,16.4,46.02027883,40.10143823,4.159822548,35.51437216,11.6444,74.8623,13.4933,35.1298,15.5783,35.1298,0.0787,3.6979,4158.13556132,979949.828611,10.3855,74323.0,5,54,9.0,1.089380909038548,0.3890694249936452,104,16.0
9,9,1583,California Air Resources Board,1996-10-15,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily,9530 Telstar Ave,El Monte,91731,CA,-118.064,34.06872,POINT (-118.064 34.06872),29,6037433101,91731,Los Angeles,El Monte,2464,76.2636142,99.78567827,0.05605125,74.10080896,11.94103408,75.20846297,0.354986537,81.64281269,0.599598535,39.65517241,2118.801005,80.29507377,2834.65939,94.9875,842.5509654,96.22830024,78.01730395,87.47321991,23.4,84.80776409,60.8,92.66146439,0.42,63.07081403,3.0,33.15833683,2.5,59.17525773,74.65752172,9.115668573,99.50217797,60.57,69.64107677,7.07,90.59532974,15.27,68.19541376,42.7,92.0020248,35.6,97.73988361,43.5,74.04522613,8.1,76.05413847,27.5,85.95690748,80.65178809,8.366211824,93.15431165,7.4675,69.8864,22.6461,48.2955,2.4351,0.1623,0.1623,0.5276,7813.96932848,1561428.91436,48.4172,45000.0,1,66,11.0,12.497754317708313,468.3649864124688,101,12.0
10,10,1589,LADWP - Palmetto Center,1999-10-15,E,ELEC,['J1772'],Non-Networked,Private,Fleet use only,1212 Palmetto St,Los Angeles,90013,CA,-118.236065,34.039736,POINT (-118.236065 34.039736),256,6037206031,90021,Los Angeles,Los Angeles,4131,44.18892955,81.0892587,0.04753555,50.98942128,12.35063461,90.15556938,0.759780738,96.24144368,0.0,0.0,2513.113281,82.60815204,2089.210148,88.3375,787.9403354,92.53153491,35.87976697,31.68241966,276.2,99.98133632,79.05,95.16852067,20.81,99.9602912,7.0,66.73666527,64.25,100.0,75.16862431,9.178074098,99.58929683,85.61,87.93619143,5.53,65.17834231,8.78,19.35443669,3.7,14.78106808,9.5,59.79158208,26.7,48.02763819,2.8,14.39354503,15.2,39.69581749,46.41379349,4.814618958,44.94452849,4.9867,90.8981,4.1152,14.4759,40.9102,5.4224,0.2905,6.1244,11279.3232735,4734746.66142,32.7765,99205.0,27,174,22.0,51.24939866823102,252.5400582468929,52,9.0
11,11,6405,Galpin Motors,2012-12-11,E,ELEC,['J1772'],Non-Networked,Public - Call ahead,Dealership business hours,15421 Roscoe Blvd,Sepulveda,91343,CA,-118.468371,34.221665,POINT (-118.468371 34.221665),82,6037117408,91343,Los Angeles,Los Angeles,3073,68.9578571,98.87796268,0.06464682,93.62787803,12.06000567,81.7672682,0.451989093,87.59178594,0.0,0.0,650.1786652,56.72668167,3927.660141,98.5875,726.638249,83.12726364,63.14533772,70.25834909,40.5,93.54236655,11.5,50.87165864,0.355,56.69093316,0.0,0.0,0.0,0.0,61.04755777,7.453894678,92.15930305,86.23,88.17298106,7.88,95.94559918,15.46,69.10518445,40.8,90.49607694,25.5,92.80010827,69.8,97.29899497,11.2,90.330557,40.8,98.87198986,89.18373349,9.251251873,98.86535552,22.356,72.8929,4.7511,79.8894,3.7748,4.7185,0.0,0.781,2513.86730884,376499.767386,10.8363,36250.0,4,15,2.0,33.90213393331398,33.200649408973426,41,5.0
12,12,6505,City of Pasadena - Holly Street Garage,1997-08-30,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; pay lot,150 E Holly St,Pasadena,91103,CA,-118.147111,34.14762,POINT (-118.147111 34.14762),1051,6037461902,91103,Los Angeles,Pasadena,1801,24.41641444,47.64246092,0.05763123,76.93839452,11.2362251,57.31176105,0.84804965,97.13752334,0.0,0.0,1054.204651,64.81620405,1237.069008,70.0875,634.1263363,71.12526539,25.90804963,18.81537492,0.0,0.0,0.75,4.416403785,0.27,45.73130377,2.0,23.87652247,0.9,26.55211913,44.72442522,5.460843435,55.99253267,33.74,31.50548355,2.83,7.287657172,8.5,17.16101695,7.2,30.86560364,11.0,65.62457707,50.3,82.21105528,6.4,61.53045289,37.3,97.54119138,43.10298097,4.471180089,39.7881997,2.1099,82.8429,15.0472,12.382,38.0344,12.8817,0.0,6.663,3770.95535524,832765.851896,30.0389,31164.0,11,61,12.0,0.33393297409482037,126.43178267710717,93,9.0
13,13,6506,City of Pasadena - De Lacey Garage,1997-08-30,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; pay lot,45 De Lacey Ave,Pasadena,91105,CA,-118.152655,34.145138,POINT (-118.152655 34.145138),1872,6037463700,91105,Los Angeles,Pasadena,3138,20.8512456,39.68734241,0.05605125,74.10080896,11.30302493,57.92159303,0.427065601,86.40945862,0.0,0.0,1115.356008,66.36659165,1413.084392,75.775,634.1263363,71.12526539,29.19005774,23.01197227,44.25,94.62486002,0.0,0.0,0.86,82.73990735,2.0,23.87652247,1.35,39.45017182,53.93865494,6.585899054,80.12445551,26.48,19.16749751,5.78,70.60559405,7.75,12.06380857,2.2,6.9476082,2.7,21.42373799,13.4,18.17839196,3.5,23.7506507,20.6,65.18377693,30.52123327,3.166043912,20.66313666,7.0746,70.1083,22.8171,12.5239,61.4723,6.0548,0.0,6.1504,5513.86792865,1732981.8705,13.7986,136389.0,5,79,4.0,23.80755484523252,84.08493170136336,106,12.0
14,14,6507,City of Pasadena - Schoolhouse Garage,1997-08-30,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; pay lot,33 E Green St,Pasadena,91105,CA,-118.150133,34.145119,POINT (-118.150133 34.145119),1043,6037463602,91105,Los Angeles,Pasadena,6057,18.36158934,33.63590519,0.05679963,75.12134412,11.08381171,55.54449284,0.392070875,84.33105165,0.0,0.0,1090.201009,65.70392598,880.4025298,49.95,634.1263363,71.12526539,32.05841203,26.56584751,24.25,85.7596118,0.0,0.0,0.59,73.85837194,0.0,0.0,0.4,14.43298969,47.29855885,5.775144641,63.07405103,16.62,5.209371884,5.34,60.71336926,5.88,2.903788634,3.8,15.23664895,10.4,63.29679253,27.3,49.12060302,1.6,3.578865174,19.4,60.55766793,30.65014606,3.179416358,20.82702975,10.7149,77.0844,12.2008,17.3353,37.9231,9.3281,0.0,3.434,3888.41272537,925799.831103,31.9795,83065.0,11,34,3.0,27.334747665925143,89.01906638611797,90,7.0
15,15,6509,Bristol Farms,1997-08-31,E,ELEC,0,Non-Networked,Public,24 hours daily,606 Fair Oaks Ave,South Pasadena,91030,CA,-118.149597,34.118433,POINT (-118.149597 34.118433),1983,6037480600,91030,Los Angeles,South Pasadena,8038,18.95471179,35.01008573,0.05462941,71.66148102,11.3985122,59.1661481,0.468472219,88.51275669,0.0,0.0,1231.291341,69.14228557,1215.322064,69.3625,777.0402912,87.22367928,65.09420433,73.01827347,8.5,54.25531915,2.25,14.92611655,0.22,38.7028458,3.0,33.15833683,2.0,52.89805269,56.10330508,6.850202406,84.60485376,20.42,9.695912263,3.9,24.31357454,6.75,6.542871386,4.0,16.2110858,6.5,46.00081202,17.9,29.20854271,5.5,51.26236335,18.5,56.4765526,26.67466201,2.767029449,15.50680787,14.8669,73.4884,11.6447,19.3954,47.7358,5.8721,0.0249,5.362,8719.14687892,2350021.15193,21.6099,92837.0,2,126,9.0,67.32661994058716,98.81953270741086,98,5.0
16,16,7172,Hyatt Regency Long Beach,2012-05-04,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; pay lot; see valet for access,200 S Pine Ave,Long Beach,90802,CA,-118.192,33.7637,POINT (-118.192 33.7637),94,6037576001,90802,Los Angeles,Long Beach,5174,42.18754812,78.29046899,0.03975537,20.84629745,11.73964651,67.59178594,0.91219658,97.63534536,0.0,0.0,9917.723306,97.33683421,1003.198846,58.0,339.0441176,34.7321094,34.01568826,29.3131695,5.9,44.77416947,14.75,57.19740993,0.845,82.40900066,12.0,90.1301974,12.25,93.81443299,58.34297585,7.123665763,88.58742999,80.31,85.39381854,8.42,97.85732615,15.52,69.44167498,2.9,10.3138446,3.2,25.55149547,15.0,22.01005025,4.3,35.02082249,18.6,56.85678074,57.0907693,5.922168379,61.05648008,3.9041,86.9153,9.1805,12.7368,50.9277,13.7225,0.0,2.4159,7516.58271382,3047267.60263,20.1971,80462.0,80,114,11.0,41.69461239958677,107.30479428908426,57,9.0
17,17,7184,Los Angeles International Airport (LAX) - Lot 6,1998-06-30,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; pay lot,1 World Way,Los Angeles,90045,CA,-118.403342,33.94325,POINT (-118.403342 33.94325),260,6037980028,90045,Los Angeles,Los Angeles,0,-999.0,-999.0,0.04320513,32.1468575,11.96866046,76.73926571,0.710311721,95.64405725,0.978983428,42.72413793,3418.770142,86.45911478,1812.602843,84.075,-999.0,-999.0,-999.0,-999.0,13.55,72.41508025,100.8,96.62958658,2.06,92.73328921,0.0,0.0,2.25,55.50973654,67.57344986,8.250704806,97.31176105,24.48,15.49102692,-999.0,-999.0,9.88,28.82602193,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25107.1349282,17364384.4531,-1998.0,0.0,8,186,55.0,49.386076920876796,785.4938401152933,33,4.0
18,18,7192,Northridge Fashion Center East Garage Lower Level,1998-05-30,E,ELEC,['J1772'],Volta,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,9301 Tampa Ave,Northridge,91324,CA,-118.554686,34.2387162,POINT (-118.554686 34.2387162),1329,6037113301,91324,Los Angeles,Los Angeles,3509,31.69849207,61.82551689,0.06350576,91.05164904,11.94831277,75.6316117,0.100418051,37.41132545,0.0,0.0,537.6580022,52.97574394,1259.88885,71.125,726.638249,83.12726364,49.32861221,50.71203529,1.75,22.62038074,13.0,54.52432343,0.205,35.97617472,3.0,33.15833683,0.2,9.667812142,48.89935428,5.970601445,67.46733043,50.67,57.53988036,2.13,2.489094175,14.34,62.41276171,10.0,41.85016452,12.2,69.22452294,22.1,38.5678392,7.5,71.66840187,27.8,86.42585551,51.18063445,5.3090953,52.26928896,11.7697,66.7712,21.4591,18.6663,54.9444,5.6996,0.057,2.2799,6902.88884117,2271422.74219,18.3528,66793.0,10,60,2.0,124.34387121908368,434.7045324253596,38,2.0
19,19,7229,City of Santa Monica - Airport,1998-06-30,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily,3223 Donald Douglas Loop,Santa Monica,90405,CA,-118.44704,34.017081,POINT (-118.44704 34.017081),1180,6037702300,90405,Los Angeles,Santa Monica,6839,23.25204205,45.02017146,0.04676708,48.45052894,11.75472373,68.10205352,0.346023335,80.74673304,0.0,0.0,1711.198324,75.93148287,1342.125166,73.575,417.8039058,48.15786187,53.73043808,56.8241966,16.5,77.32362822,28.65,78.43267475,0.755,80.27796161,0.0,0.0,12.95,94.36426117,59.67555645,7.28637359,90.3795893,31.01,26.79461615,4.07,28.35514498,11.1,38.65902293,4.1,16.79321691,1.3,9.46000812,20.4,35.15075377,3.1,18.31077564,22.3,71.57160963,30.76343375,3.191167974,21.05395865,12.999,69.7324,17.2686,14.4173,64.4246,1.7108,0.1608,9.3727,6443.52109253,2607740.23216,9.9137,114514.0,9,130,6.0,16.704730363388677,320.2525491017644,61,2.0
20,20,7230,City of Santa Monica - Pier,2019-04-08,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; pay lot,200 Santa Monica Pier,Santa Monica,90405,CA,-118.49583,34.010021,POINT (-118.49583 34.010021),190,6037701902,90401,Los Angeles,Santa Monica,4659,44.27110923,81.19011599,0.04716458,50.54138146,11.7063039,66.52146857,0.57922556,92.35843186,0.0,0.0,1550.444031,73.98099525,1356.928003,74.0,417.8039058,48.15786187,19.20113526,11.27914304,24.0,85.62896603,18.3,65.66495102,1.085,86.2475182,6.0,58.69382612,0.0,0.0,54.48562426,6.6526839,81.34411948,65.51,74.83798604,6.67,86.02771363,11.67,43.49451645,3.4,13.11060491,8.3,54.58113412,38.4,66.68341709,11.4,90.86413326,23.5,75.67807351,64.15177231,6.654623893,71.65910237,4.3786,74.5439,21.0775,8.3924,66.2159,13.1788,0.0,6.0099,5178.38002345,1623929.46688,6.203,67422.0,62,112,12.0,35.63345007861856,192.97250743272681,172,16.0
21,21,7233,Westfield Parking Garage 1st Floor,1998-05-30,E,ELEC,['J1772'],Volta,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,14006 Riverside Dr,Sherman Oaks,91423,CA,-118.4389655,34.1564065,POINT (-118.4389655 34.1564065),1081,6037128702,91423,Los Angeles,Los Angeles,5810,26.95685788,52.93746848,0.05938691,79.98755445,11.66487781,64.94088363,0.297388175,76.12943373,0.0,0.0,1069.168335,65.21630408,3425.339054,97.525,726.638249,83.12726364,41.08784303,38.67674858,0.0,0.0,1.0,6.973269135,0.285,47.41230973,4.0,43.78412432,0.0,0.0,48.67824589,5.943604154,66.93217175,24.51,15.52841476,5.53,65.17834231,12.08,46.58524427,6.5,28.08149835,1.8,14.27798078,19.3,32.78894472,7.1,68.40187402,25.5,81.52091255,43.7224546,4.535439639,40.75895108,7.0396,75.5422,17.4182,21.6007,56.6265,9.4664,0.0,4.3718,5186.76289496,1660106.59317,7.9346,76202.0,12,50,5.0,88.56116817780917,87.91821459291388,86,6.0
22,22,7242,Universal City Hilton,1998-05-30,E,ELEC,['NEMA520'],Non-Networked,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,333 Universal Terrace Pkwy,Universal City,91608,CA,-118.35904,34.138717,POINT (-118.35904 34.138717),2324,6037143700,90068,Los Angeles,Los Angeles,3811,11.94485694,17.7508825,0.0534139,69.43372744,11.57869279,62.78780336,0.42071367,86.1356565,0.003486694,8.379310345,1229.189667,69.09227307,2540.64109,92.9625,743.5310641,84.76333208,46.8552912,47.05734089,5.4,43.52370287,6.75,36.80889922,0.275,46.35340834,4.0,43.78412432,4.7,72.6002291,59.58901956,7.275807453,90.30491599,13.69,2.654536391,3.29,12.76623043,6.24,4.399302094,1.5,3.872437358,1.6,12.27500338,12.4,15.59045226,7.8,74.10203019,11.2,19.39163498,15.82650064,1.64172252,4.248613212,10.0499,77.46,12.4902,6.0614,78.7195,0.9709,0.0,7.0323,10593.2551868,3388525.05746,7.216,111985.0,20,132,6.0,9.159072982145444,324.48967598163983,51,10.0
23,23,7245,Van Nuys Station,1998-06-30,T,ELEC,['J1772'],EV Connect,TEMPORARILY UNAVAILABLE (Public),0,7724 Van Nuys Blvd,Van Nuys,91405,CA,-118.448346,34.211366,POINT (-118.448346 34.211366),1505,6037127102,91405,Los Angeles,Los Angeles,5779,60.5734447,96.04135149,0.06350576,91.05164904,11.6846695,65.78718108,0.607232883,93.14250156,0.0,0.0,807.2599689,60.56514129,1159.363223,66.9,726.638249,83.12726364,62.55514058,69.27536232,37.0,92.29189996,0.0,0.0,0.445,65.17538054,0.0,0.0,0.3,12.87514318,55.51025316,6.777790884,83.34785314,109.67,94.8778664,6.33,80.98537336,20.85,89.93020937,31.7,81.99190078,21.8,88.83475436,50.6,82.53768844,8.3,77.09526288,28.6,88.09885932,86.15475477,8.93704833,97.31467474,15.5736,78.1623,6.2641,72.054,13.4798,5.3816,0.0,2.5091,3748.01282218,855863.207258,6.5755,44955.0,2,30,1.0,37.514668395742774,38.908704063702466,32,2.0
24,24,7250,Office Max - Home Depot,1998-06-15,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily,7075 Firestone Blvd,Downey,90241,CA,-118.153806,33.94756,POINT (-118.153806 33.94756),359,6037551401,90241,Los Angeles,Downey,4582,47.00712723,84.48058497,0.04588368,44.97822029,12.01107836,78.90479154,0.150067176,51.2632234,0.0,0.0,6240.113363,94.3235809,986.5996212,57.0375,580.1203914,67.62832522,73.59970303,83.12539382,3.0,31.24300112,13.5,55.25485638,1.595,90.91992058,10.0,82.96934061,5.0,75.67010309,62.17556772,7.591624468,93.40385812,38.02,37.97357926,6.37,81.70387478,15.58,69.66600199,18.8,62.68033409,6.5,46.00081202,32.2,57.29899497,9.4,83.62831858,13.7,31.73637516,59.69172615,6.191972143,65.17902168,11.7852,77.1934,11.0214,79.1576,9.952,4.1903,0.5456,0.0,3572.23199123,739515.163903,6.1545,65880.0,2,60,2.0,2.325999866797455,2.631864802253904,218,6.0
25,25,21368,Hotel Sofitel,2002-01-31,E,ELEC,['J1772'],Non-Networked,Public,24 hours daily; for guest use only; see valet for access,8555 Beverly Blvd,Los Angeles,90048,CA,-118.377527,34.076264,POINT (-118.377527 34.076264),1153,6037194500,90048,Los Angeles,Los Angeles,2019,20.34089065,38.36359052,0.04863521,56.96328563,11.72971837,67.23086497,0.100757337,37.53578096,0.0,0.0,1562.821004,74.13103276,1445.786586,76.775,787.9403354,92.53153491,57.11720861,61.61310649,0.4,5.636431504,17.1,63.45674913,0.74,79.62938451,0.0,0.0,1.0,35.71592211,51.19428296,6.250811781,73.21717486,24.21,15.17946162,4.02,27.12342828,11.52,42.39780658,2.8,9.73171349,6.0,43.2940858,11.5,13.51758794,6.4,61.53045289,16.1,44.46134347,31.37030111,3.254119843,21.89863843,8.9153,72.6597,18.425,6.5874,79.0986,4.6558,0.0,2.6251,4557.19668434,689095.50047,7.0332,113571.0,3,28,4.0,30.864197596886342,30.207606148484427,71,16.0
